Total 2015 Per-Capita,Unemployment,Employment,Earnings,Burglary,Robbery,Theft
Durham,5843.452345,70049.60497,2096.9,3.186453848,0.372610637,18.74025375
North Yorkshire,2584.763394,81347.73143,2091.916667,4.004993206,0.540823581,27.95239423
South Yorkshire,5854.345655,71508.07146,2091.916667,5.060436981,1.211671813,37.59290002
GreaterManchester,5097.160119,71540.25416,2104.483333,4.777475653,1.89898136,25.38911682
Cheshire,2796.326916,78456.66052,2104.483333,4.665771544,0.808183475,33.84894217
Lancashire,3450.178308,73759.80254,2104.483333,7.055693062,1.913004388,32.81623333
Derbyshire,3923.013388,75443.16045,2071.983334,1.697078434,0.564262879,12.47070067
Leicestershire,3513.008689,77046.71058,2071.983334,1.873743573,0.601245143,12.68073781
Lincolnshire,4028.510885,77281.44626,2071.983334,4.011583106,0.637467118,27.15242912
Warwickshire,1902.297086,80993.11313,2106.433334,3.242385688,0.673763593,20.57283341
West Midlands,5969.592878,65848.18546,2106.433334,4.422160238,2.746688623,33.54422576
Essex,3846.684168,79054.53715,2217.15,3.136800362,0.80598678,21.1426112
Hertfordshire,3214.161978,81700.32469,2217.15,3.130476422,0.89353193,22.20287426
Suffolk,3271.894822,79622.02648,2217.15,2.657962106,0.607954985,22.41037485
Metropolitan and City,5034.223464,74778.0283,2860.866667,3.922622116,2.348366083,20.87223783
Thames Valley,3319.247853,81129.88504,2369.25,2.805436505,0.869478802,20.525305
Hampshire,3419.42159,81194.54046,2369.25,3.003733679,0.729238778,22.71555557
Kent,4672.457142,76089.13574,2369.25,4.066896435,0.961661549,25.68605865
Gloucestershire,3917.380047,82369.3458,2118.566667,3.456246162,0.689153593,21.34320489
Dorset,3404.578988,82092.96117,2118.566667,6.574962352,1.191110135,45.26252113
