Total 2014 Per-Capita,Unemployment,Employment,Earnings,Burglary,Robbery,Theft
Durham,5891.916202,69677.33274,2076.1,36.9184505,4.698711882,242.9905287
North Yorkshire,2929.405214,80309.48413,2076.1,49.24890396,6.834541774,355.5971882
South Yorkshire,6038.660914,71438.30111,2076.1,59.73763597,14.79108453,479.5063218
GreaterManchester,5201.852272,71017.50423,2090.833333,60.73395967,23.82727444,330.3972899
Cheshire,2745.075823,78311.49335,2090.833333,58.42093523,9.559789401,430.8986556
Lancashire,3561.887119,72305.18213,2090.833333,90.54811134,23.62124644,429.3380255
Derbyshire,4291.500767,74632.64959,2067.866667,22.44593171,7.261919083,162.2562122
Leicestershire,3849.866403,76310.09176,2067.866667,22.02737842,8.775134492,160.2805178
Lincolnshire,3631.899515,78160.08431,2067.866667,49.42127462,8.349713063,330.3778358
Warwickshire,1827.140998,81659.57509,2076.1,45.62003772,5.263850507,255.0043134
West Midlands,6249.70745,65636.81654,2076.1,54.92884909,34.00625873,380.1595192
Essex,4168.108663,78466.11117,2191.8,41.36514097,9.222691474,287.4557699
Hertfordshire,3719.888201,80342.82021,2191.8,41.49337818,10.68146369,283.8804388
Suffolk,3454.219713,79926.16521,2191.8,38.22941267,6.786286273,296.3345006
Metropolitan and City,5215.961563,73663.57631,2862.166667,48.04678981,33.5881061,266.9704936
Thames Valley,3406.954966,80381.18706,2346.066667,37.64628198,11.20664722,256.2765613
Hampshire,3378.398416,81380.66869,2346.066667,35.09211268,8.319960987,302.3193745
Kent,4632.259772,75056.42134,2346.066667,50.03145093,12.59849942,349.1325163
Gloucestershire,4187.011203,81592.68654,2101.666667,41.21750159,7.398013105,259.7231029
Dorset,3293.345933,82774.34309,2101.666667,86.44397456,18.22103385,533.0711764
