Total 2014 Per-Capita,Unemployment,Employment,Earnings,Burglary,Robbery,Theft
Durham,High,69677.33274,2076.1,3.076537542,0.391559323,20.24921073
North Yorkshire,Low,80309.48413,2076.1,4.10407533,0.569545148,29.63309902
South Yorkshire,High,71438.30111,2076.1,4.978136331,1.232590378,39.95886015
GreaterManchester,Medium,71017.50423,2090.833333,5.061163306,1.985606203,27.5331075
Cheshire,Low,78311.49335,2090.833333,4.868411269,0.796649117,35.9082213
Lancashire,Medium,72305.18213,2090.833333,7.545675945,1.968437203,35.77816879
Derbyshire,Medium,74632.64959,2067.866667,1.870494309,0.605159924,13.52135102
Leicestershire,Medium,76310.09176,2067.866667,1.835614868,0.731261208,13.35670981
Lincolnshire,Medium,78160.08431,2067.866667,4.118439551,0.695809422,27.53148632
Warwickshire,Low,81659.57509,2076.1,3.80166981,0.438654209,21.25035945
West Midlands,High,65636.81654,2076.1,4.577404091,2.833854894,31.67995994
Essex,Medium,78466.11117,2191.8,3.44709508,0.768557623,23.95464749
Hertfordshire,Medium,80342.82021,2191.8,3.457781515,0.890121974,23.65670323
Suffolk,Medium,79926.16521,2191.8,3.185784389,0.565523856,24.69454171
Metropolitan and City,Medium,73663.57631,2862.166667,4.003899151,2.799008842,22.24754114
Thames Valley,Medium,80381.18706,2346.066667,3.137190165,0.933887268,21.35638011
Hampshire,Medium,81380.66869,2346.066667,2.924342723,0.693330082,25.19328121
Kent,Medium,75056.42134,2346.066667,4.169287578,1.049874952,29.09437636
Gloucestershire,Medium,81592.68654,2101.666667,3.434791799,0.616501092,21.64359191
Dorset,Medium,82774.34309,2101.666667,7.203664547,1.518419488,44.42259804
