Total 2014 Per-Capita,Unemployment,Employment,Earnings,Burglary,Robbery,Theft
Durham,5891.916202,69677.33274,2076.1,Medium,Low,Low
North Yorkshire,2929.405214,80309.48413,2076.1,Medium,Medium,Medium
South Yorkshire,6038.660914,71438.30111,2076.1,Medium,Medium,High
GreaterManchester,5201.852272,71017.50423,2090.833333,Medium,High,Medium
Cheshire,2745.075823,78311.49335,2090.833333,Medium,Medium,High
Lancashire,3561.887119,72305.18213,2090.833333,High,High,High
Derbyshire,4291.500767,74632.64959,2067.866667,Low,Medium,Low
Leicestershire,3849.866403,76310.09176,2067.866667,Low,Medium,Low
Lincolnshire,3631.899515,78160.08431,2067.866667,Medium,Medium,Medium
Warwickshire,1827.140998,81659.57509,2076.1,Medium,Low,Low
West Midlands,6249.70745,65636.81654,2076.1,Medium,High,Medium
Essex,4168.108663,78466.11117,2191.8,Medium,Medium,Medium
Hertfordshire,3719.888201,80342.82021,2191.8,Medium,Medium,Medium
Suffolk,3454.219713,79926.16521,2191.8,Medium,Medium,Medium
Metropolitan and City,5215.961563,73663.57631,2862.166667,Medium,High,Medium
Thames Valley,3406.954966,80381.18706,2346.066667,Medium,Medium,Medium
Hampshire,3378.398416,81380.66869,2346.066667,Medium,Medium,Medium
Kent,4632.259772,75056.42134,2346.066667,Medium,Medium,Medium
Gloucestershire,4187.011203,81592.68654,2101.666667,Medium,Medium,Medium
Dorset,3293.345933,82774.34309,2101.666667,High,Medium,High
